SN,Image Name,Dog ( % prediction),Cat ( % prediction),Binary Classification
1,1,97.56085277,2.439141646,1
2,2,99.89031553,0.109678286,1
3,3,99.99734163,0.002659085,1
4,4,99.96389151,0.036102373,1
5,5,14.12195265,85.87804437,0
6,6,6.715676934,93.28432679,0
7,7,0.197494309,99.80250597,0
8,8,31.33172393,68.66827011,0
9,9,3.761742264,96.23826146,0
10,10,0.457244646,99.54274893,0
11,11,0.479969988,99.52002764,0
12,12,99.96880293,0.031202062,1
13,13,20.96813619,79.03186679,0
14,14,12.69568205,87.30432391,0
15,15,1.415268518,98.58472943,0
16,16,3.182668984,96.81733251,0
17,17,78.90226841,21.09773904,1
18,18,99.98408556,0.015916211,1
19,19,6.114456803,93.88554692,0
20,20,7.227522135,92.77247787,0
21,21,99.98326302,0.016738263,1
22,22,0.643803552,99.35619831,0
23,23,98.96342754,1.036579441,1
24,24,98.17031026,1.829686575,1
25,25,8.610843122,91.38915539,0
26,26,99.69366789,0.306336326,1
27,27,99.14514422,0.854858104,1
28,28,0.391932297,99.60806966,0
29,29,83.97917151,16.02082551,1
30,30,97.66787887,2.332127467,1
31,31,99.7823596,0.217639026,1
32,32,24.91479963,75.08519888,0
33,33,94.51113343,5.488870293,1
34,34,51.80280209,48.19719791,1
35,35,3.583269194,96.41672373,0
36,36,2.558382973,97.44161963,0
37,37,0.0291648,99.97083545,0
38,38,1.133800577,98.86619449,0
39,39,95.27375102,4.726248607,1
40,40,5.981402099,94.01859641,0
41,41,73.76614213,26.23386085,1
42,42,99.98158813,0.01841777,1
43,43,99.99608994,0.003915085,1
44,44,86.56641245,13.43358904,1
45,45,4.713821784,95.28617263,0
46,46,98.66569638,1.334298216,1
47,47,1.651695743,98.34830761,0
48,48,99.81942773,0.180578779,1
49,49,99.96898174,0.031021805,1
50,50,19.31908429,80.68091869,0
51,51,1.6030306,98.39696884,0
52,52,0.129217538,99.87077713,0
53,53,30.22295833,69.77703571,0
54,54,23.45144898,76.54854655,0
55,55,14.99150693,85.00849605,0
56,56,99.47673082,0.52327374,1
57,57,99.99923706,0.000760004,1
58,58,73.66322875,26.33676827,1
59,59,99.77752566,0.222467235,1
60,60,34.15317535,65.84683061,0
61,61,6.725337356,93.27465892,0
62,62,96.88314795,3.11684832,1
63,63,56.62205219,43.37794483,1
64,64,99.71219897,0.287797581,1
65,65,99.95949864,0.04050823,1
66,66,99.98641014,0.013591369,1
67,67,99.07845259,0.921545923,1
68,68,0.577297807,99.42270517,0
69,69,99.98517036,0.014823399,1
70,70,99.92359877,0.076404586,1
71,71,31.12221658,68.8777864,0
72,72,99.96160269,0.03839171,1
73,73,99.99710321,0.002891946,1
74,74,99.93873835,0.061256095,1
75,75,46.63845003,53.36154699,0
76,76,86.04208231,13.95792067,1
77,77,99.9250114,0.074985146,1
78,78,99.78334308,0.216653384,1
79,79,99.85877275,0.141224207,1
80,80,13.26548904,86.73450947,0
81,81,93.39408278,6.605912745,1
82,82,11.87292933,88.12707067,0
83,83,99.98897314,0.011030656,1
84,84,8.804608881,91.19539261,0
85,85,99.99580383,0.004196389,1
86,86,99.55144525,0.448553916,1
87,87,86.23323441,13.76675963,1
88,88,99.69574213,0.304262061,1
89,89,1.096082758,98.90391827,0
90,90,35.3420496,64.65794444,0
91,91,9.172053635,90.82794189,0
92,92,75.73583722,24.26416576,1
93,93,0.289424625,99.71057773,0
94,94,99.99029636,0.009704209,1
95,95,99.92251396,0.077484583,1
96,96,7.484782487,92.5152123,0
97,97,99.99521971,0.004781474,1
98,98,98.9386797,1.061324403,1
99,99,0.331899361,99.66810346,0
100,100,89.21827078,10.78172922,1
101,101,1.078052912,98.92194867,0
102,102,98.96587729,1.034117397,1
103,103,7.279370725,92.72063375,0
104,104,1.365415659,98.63458276,0
105,105,86.83984876,13.16015124,1
106,106,99.99477863,0.005220206,1
107,107,50.97766519,49.02233779,1
108,108,11.06646731,88.93352747,0
109,109,86.49260402,13.50740045,1
110,110,99.99647141,0.003525024,1
111,111,98.24322462,1.756772771,1
112,112,95.01873255,4.981271923,1
113,113,99.49299693,0.507005956,1
114,114,7.636237144,92.36376286,0
115,115,41.78254902,58.21745396,0
116,116,4.124682397,95.87531686,0
117,117,0.053311879,99.94668365,0
118,118,95.10931969,4.890673608,1
119,119,99.85060692,0.149396062,1
120,120,10.2678746,89.73212838,0
121,121,83.94494057,16.05505347,1
122,122,3.897605091,96.10239267,0
123,123,6.222962588,93.77703667,0
124,124,5.729819089,94.2701757,0
125,125,18.63323897,81.36675954,0
126,126,16.06599987,83.93399715,0
127,127,99.76881742,0.231186184,1
128,128,0.743522868,99.25647974,0
129,129,7.381387055,92.61861444,0
130,130,36.7716819,63.22831511,0
131,131,99.02883768,0.971164927,1
132,132,98.01450968,1.98549293,1
133,133,18.83856803,81.16143346,0
134,134,0.911627803,99.08837676,0
135,135,7.399176806,92.60082841,0
136,136,2.844741568,97.15525508,0
137,137,99.99399185,0.006004993,1
138,138,23.03380668,76.9661963,0
139,139,90.12343287,9.87656489,1
140,140,0.178116944,99.82188344,0
141,141,5.280865356,94.71913576,0
142,142,99.94103909,0.058963324,1
143,143,99.89566803,0.104324624,1
144,144,59.49888229,40.50111473,1
145,145,19.02206838,80.9779346,0
146,146,99.97211099,0.027882255,1
147,147,99.92403984,0.075963512,1
148,148,64.07698989,35.92301607,1
149,149,8.164183795,91.83582067,0
150,150,25.51592886,74.48407412,0
151,151,99.67650175,0.323501579,1
152,152,73.88403416,26.11596286,1
153,153,0.08513534,99.91486073,0
154,154,0.130462227,99.86954331,0
155,155,98.31310511,1.686894521,1
156,156,3.93656306,96.06343508,0
157,157,2.384282835,97.61571884,0
158,158,99.78755713,0.212443341,1
159,159,99.97503161,0.024970775,1
160,160,67.29457378,32.70542026,1
161,161,43.06122363,56.93877935,0
162,162,9.065011144,90.93498588,0
163,163,3.09195593,96.90803885,0
164,164,96.97450399,3.025499359,1
165,165,48.88755381,51.11244321,0
166,166,16.7346403,83.26536417,0
167,167,99.95354414,0.046455499,1
168,168,0.165798853,99.83420372,0
169,169,3.228515759,96.77148461,0
170,170,79.3905437,20.60945928,1
171,171,26.29779875,73.70219827,0
172,172,98.5270977,1.472907141,1
173,173,78.03800106,21.96200341,1
174,174,0.385788037,99.61420894,0
175,175,99.99996424,3.54E-05,1
176,176,99.90867376,0.091322343,1
177,177,77.45621204,22.54378498,1
178,178,96.5284586,3.471536562,1
179,179,3.652824461,96.34717107,0
180,180,4.820714891,95.17928362,0
181,181,99.99675751,0.003245342,1
182,182,99.99542236,0.004573472,1
183,183,17.5305143,82.46948719,0
184,184,82.55993724,17.44006425,1
185,185,40.74060321,59.25940275,0
186,186,9.832305461,90.16769528,0
187,187,0.713762408,99.28624034,0
188,188,0.253325002,99.74668026,0
189,189,3.462479264,96.53752446,0
190,190,99.78400469,0.215989305,1
191,191,4.480797797,95.51920295,0
192,192,1.39180962,98.60819578,0
193,193,5.026810989,94.9731946,0
194,194,0.334617309,99.66537952,0
195,195,99.98842478,0.011571061,1
196,196,76.57808661,23.42191488,1
197,197,85.2414608,14.75853622,1
198,198,2.229207195,97.77079225,0
199,199,93.94356608,6.056432426,1
200,200,43.19708347,56.80291653,0
201,201,98.76658916,1.23341484,1
202,202,0.075001013,99.92499948,0
203,203,99.95017052,0.049823994,1
204,204,99.85878468,0.14122139,1
205,205,0.26949211,99.73050356,0
206,206,79.81362939,20.18637359,1
207,207,97.81945348,2.180548757,1
208,208,2.640475333,97.35952616,0
209,209,19.73752677,80.26247025,0
210,210,0.778987771,99.22101498,0
211,211,99.89987016,0.100130297,1
212,212,99.92495179,0.075047131,1
213,213,96.88767791,3.112325072,1
214,214,86.83398366,13.16602081,1
215,215,99.99144077,0.008554335,1
216,216,99.0627408,0.937265903,1
217,217,99.68643785,0.313560199,1
218,218,2.561540157,97.43846655,0
219,219,99.73778725,0.262212916,1
220,220,99.66502786,0.334975775,1
221,221,8.344441652,91.65555835,0
222,222,99.99995232,4.93E-05,1
223,223,99.8052001,0.194795337,1
224,224,0.0114239,99.98857975,0
225,225,99.95756745,0.042429706,1
226,226,99.94122982,0.05877497,1
227,227,99.94310737,0.056889845,1
228,228,3.328268975,96.67173028,0
229,229,99.99878407,0.001220694,1
230,230,5.897407979,94.10259128,0
231,231,99.99901056,0.000984006,1
232,232,24.78441894,75.21558404,0
233,233,1.908814348,98.09118509,0
234,234,11.64774746,88.35225105,0
235,235,99.6355772,0.36442657,1
236,236,96.79241776,3.207579628,1
237,237,0.38302904,99.61697459,0
238,238,97.55470157,2.445301227,1
239,239,4.638948664,95.36104798,0
240,240,99.9753058,0.024692167,1
241,241,99.99899864,0.000996128,1
242,242,97.34573364,2.654261887,1
243,243,3.287388012,96.71260715,0
244,244,90.72510004,9.274894744,1
245,245,99.7371912,0.262805936,1
246,246,47.54530787,52.45469213,0
247,247,99.97089505,0.029096755,1
248,248,3.905047476,96.09495401,0
249,249,33.71353745,66.28646255,0
250,250,99.99608994,0.003904104,1
251,251,99.98559952,0.014397815,1
252,252,0.386008178,99.61399436,0
253,253,99.83947873,0.160519849,1
254,254,57.54031539,42.45968461,1
255,255,51.62186623,48.37813377,1
256,256,0.704014162,99.29597974,0
257,257,99.89728928,0.102706929,1
258,258,99.58021045,0.419793837,1
259,259,3.154413402,96.84559107,0
260,260,2.065441757,97.93455601,0
261,261,0.303778914,99.69622493,0
262,262,98.98959398,1.010408532,1
263,263,7.166021317,92.83397794,0
